c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,d1,d2,d3,,ISI_EH_16,ISI_EW_16,EH_16,EW_16
1.111952019,42.56618075,36.64154963,0.850467429,35.22809496,8.491553713,4.565540839,28.49530535,44.26474789,0.224739604,-0.051482495,-1,-1,-1,,0.329804,6.65E-11,0.158639,4.83E-11
1.159852779,48.73736763,45.50927918,0.896010326,29.64640464,6.699857676,4.304578763,17.65877909,41.74765876,0.260709416,-0.034565434,-1,0,0,,0.328294,6.45E-11,0.173061,4.81E-11
1.148301819,33.70260797,43.23002448,0.862017781,35.18750542,8.791900778,4.15126796,16.11864608,46.64102555,0.249725009,0.007606394,1,1,0,,0.357411,6.65E-11,0.233359,5.57E-11
1.084138684,41.41431703,47.9480548,0.890841755,35.50996198,13.80791255,4.911406326,22.7209428,40.32426325,0.20935771,-0.173851314,0,0,0,,0.269588,6.64E-11,0.165654,5.67E-11
1.111839984,37.50869666,47.60560055,0.858399165,41.56460147,12.13979895,4.841814056,23.3870847,46.6873277,0.247688233,-0.194745457,1,0,0,,0.278075,6.15E-11,0.174426,5.33E-11
1.101967277,39.84143603,43.68145938,0.873431417,33.31847866,7.101301928,4.10979986,25.64900869,43.19952838,0.298438345,-0.11190631,1,0,0,,0.314029,6.79E-11,0.191156,5.75E-11
1.100537472,40.47792271,44.07826331,0.873192889,27.99716069,8.500011028,4.554067253,24.12928214,47.70149956,0.213033578,-0.190833947,-1,1,-1,,0.299227,6.74E-11,0.1563,4.94E-11
1.118574901,46.19977421,32.20166027,0.883623492,36.98893163,9.593974029,4.923309818,23.59849953,40.05239838,0.248442845,0.143727122,-1,0,-1,,0.356875,6.29E-11,0.191225,4.80E-11
1.149706625,42.98308394,42.77917478,0.878924979,30.3859164,10.48423992,4.704556806,18.34373334,48.55828367,0.219503749,0.098928324,1,1,0,,0.355117,6.93E-11,0.209767,5.64E-11
1.095626944,45.47598574,38.84379727,0.89038492,31.6565578,7.709545901,4.790556058,17.55555506,47.33245068,0.274447315,-0.11144132,-1,-1,1,,0.305397,6.21E-11,0.160472,4.78E-11
1.088077883,33.97895847,34.2802934,0.86885413,26.42604616,6.887362952,4.707107621,26.39597766,40.80529527,0.223170231,-0.116949735,-1,0,-1,,0.340933,6.90E-11,0.173079,5.32E-11
1.158400024,44.22629036,40.86215378,0.865225899,39.35766476,9.482447661,4.931110594,24.70893248,44.78031308,0.21262101,0.19041742,-1,1,0,,0.344641,6.26E-11,0.190961,4.93E-11
1.082650035,34.0520425,38.89890808,0.870210095,28.34802369,11.83455135,4.26987056,23.5901216,47.54305951,0.221073239,0.040381699,-1,1,1,,0.353337,7.16E-11,0.180343,5.57E-11
1.141559505,42.76437421,41.55403685,0.864774114,37.70570354,13.56246752,4.483005251,26.0792727,40.5614104,0.28352716,-0.123099993,-1,-1,1,,0.269777,5.68E-11,0.13772,4.13E-11
1.106176356,36.00162092,33.2816583,0.89523155,31.92246684,10.24557951,4.544704639,14.37890055,42.06454059,0.207618881,0.00316868,-1,0,0,,0.371716,7.02E-11,0.212496,5.38E-11
1.092821624,37.14123218,33.72904526,0.889377592,27.70534203,13.88567059,4.259445048,22.30329202,40.44845335,0.278711629,-0.124157621,1,0,-1,,0.327333,6.37E-11,0.189107,5.10E-11
1.119457066,44.80155086,34.39890376,0.877554359,29.46587533,12.07356839,4.750623674,15.17788262,48.61966558,0.20197751,0.144094799,1,-1,1,,0.372619,6.65E-11,0.214502,5.45E-11
